"t","\alpha","\chi","v_F","\rho_t","x","y","z","\rho","\phi","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","k_\rho","k_\phi","k_\rho^{(+)}","k_\rho^{(-)}","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
-1300.,0.5,1,1,110,-1551.9821839259566,-949.5237522088803,0.,1819.4076110735639,-2.5925319616760576,1.1418347478813087,0.4905290686881474,0.,0.0000711991906870539,0.000030827533216215,0.,0.007504975948582945,0.0029162826289020017,-1.,-0.007923825590013561,-0.003244696163131805,0.013157955134140963,-0.007923811585638455,0.003752366344492751,0.0014580940515588078,-0.4999837934459011,949.5237522088803,-1551.9821839259566,2.6001342395872205,949.5275045752248,-1551.9807258319051,2.100150446141319,0.009999998173091227
-1287.0324189526184,0.5,1,1,110,-1537.1693376947835,-943.1601736315487,0.,1803.4524351569999,-2.5912553035529347,1.1427638666959121,0.49093141191940626,0.,0.0000720995187960137,0.000031226172835634506,0.,0.007500342573209502,0.002910474112432132,-1.,-0.007915007691197245,-0.0032455271133699387,0.013175234164991381,-0.007914993645254512,0.00375004992570601,0.0014551899626665916,-0.4999838192859118,943.1601736315487,-1537.1693376947835,2.6001328398592576,943.1639236814743,-1537.167882504821,2.1001490205733457,0.009999998174108144
-1274.0648379052368,0.5,1,1,110,-1522.344367341315,-936.7913441185053,0.,1787.4871734340318,-2.5899548038626934,1.143704660665757,0.49133892455321737,0.,0.00007300051669796024,0.000031625030311380965,0.,0.007495673577886296,0.002904566644574993,-1.,-0.007906053566039229,-0.0032464028456969957,0.013192786359990886,-0.007906039477983566,0.003747715699151157,0.0014522364001040317,-0.4999838453755046,936.7913441185053,-1522.344367341315,2.600131455165465,936.7950918342045,-1522.342915104915,2.1001476097899605,0.00999999817271647
-1261.0972568578554,0.5,1,1,110,-1507.507120371945,-930.4171961261424,0.,1771.5117489927484,-2.5886297808990557,1.144657378639446,0.4917517229011044,0.,0.00007393790924408946,0.000032041176420435356,0.,0.007490968760371983,0.002898557521513219,-1.,-0.007896959483715228,-0.003247325128994345,0.013210618794749513,-0.007896945352990936,0.00374536356373109,0.0014492320120041743,-0.49998387171822944,930.4171961261424,-1507.507120371945,2.600130047804991,930.4209414897061,-1507.505671139933,2.1001461760867617,0.009999998173941885
-1248.1296758104738,0.5,1,1,110,-1492.65744014104,-924.0376601490537,0.,1755.5260838227784,-2.587279526601977,1.145622248238884,0.4921699158558817,0.,0.00007486839841515813,0.000032454299619668964,0.,0.00748622794387455,0.0028924438918263872,-1.,-0.007887721551125444,-0.0032482958545098713,0.013228738779077424,-0.00788770737707506,0.0037429934310733133,0.001446175372700583,-0.4999838983177021,924.0376601490537,-1492.65744014104,2.6001286572751385,924.0414031424848,-1492.6559939656674,2.1001447589574362,0.009999998172597816
-1235.1620947630922,0.5,1,1,110,-1477.7951683219217,-917.6526658734826,0.,1739.5301016942267,-2.585903305463874,1.1465994952791543,0.4925936093909996,0.,0.00007585316433419375,0.000032892280219665976,0.,0.0074814509640626446,0.0028862228406447963,-1.,-0.00787833573986682,-0.003249316967167894,0.013247153912253628,-0.007878321521919337,0.003740605219035254,0.0014430650248026247,-0.4999839251775296,917.6526658734826,-1477.7951683219217,2.600127253168571,917.6564064787017,-1477.7937252568968,2.1001433279910415,0.00999999817912317
-1222.1945137157106,0.5,1,1,110,-1462.9201411743938,-911.26214049265,0.,1723.5237242779558,-2.584500352879379,1.1475895123512923,0.4930229824750451,0.,0.00007683793025322938,0.00003333026081966299,0.,0.00747663768216005,0.002879891273216907,-1.,-0.007868797828817085,-0.003250390557158607,0.013265872030793222,-0.007868783566342215,0.0037381988582521476,0.0014398994209813723,-0.49998395230142506,911.26214049265,-1462.9201411743938,2.6001259099517897,911.2658786915083,-1462.9187012749728,2.1001419576503646,0.009999998179417283
-1209.2269326683293,0.5,1,1,110,-1448.0321931020333,-904.8660103565452,0.,1707.5068752302159,-2.5830698739851963,1.1485922994552977,0.49345803510801833,0.,0.00007782269617226499,0.00003376824141965999,0.,0.007471787966266534,0.002873446036360764,-1.,-0.00785910344535135,-0.003251518760850807,0.013284901283933125,-0.007859089137704342,0.0037357742827969507,0.001436676984693017,-0.4999839796930993,904.8660103565452,-1448.0321931020333,2.600124601473822,904.8697461308279,-1448.0307564250486,2.1001406217807226,0.009999998171686496
-1196.2593516209477,0.5,1,1,110,-1433.1311566691302,-898.4642008448117,0.,1691.4794803412499,-2.581611042228287,1.1496082856154137,0.4938989883810681,0.,0.00007887147330947906,0.000034238031608012994,0.,0.007466901710641901,0.0028668838863556067,-1.,-0.007849248057385677,-0.0032527037971318263,0.013304250151674905,-0.007849233703903944,0.0037333314398218503,0.001433396094125088,-0.49998400735623316,898.4642008448117,-1433.1311566691302,2.600123258149731,898.4679341762514,-1433.129723273036,2.1001392507934975,0.009999998173050782
-1183.291770573566,0.5,1,1,110,-1418.2168573871759,-892.0566339489958,0.,1675.4414620480088,-2.580122997343317,1.1506378188485202,0.4943459878718995,0.,0.00007991422918118055,0.00003470304370866693,0.,0.007461978866510946,0.0028602013041382035,-1.,-0.0078392268922866,-0.0032539481198658664,0.01332392736931207,-0.007839212492251625,0.003730870304961331,0.0014300549897979591,-0.4999840352946219,892.0566339489958,-1418.2168573871759,2.600122045208711,892.0603648193007,-1418.215427332186,2.100138009914089,0.009999998167105959
