"X1","Y1","X2","Y2","X3","Y3","X4","Y4","X5","Y5","X6","Y6","X7","Y7","X8","Y8","X9","Y9","X10","Y10","X11","Y11","X12","Y12","X13","Y13","X14","Y14"
-673.2211189555287,-315.5914997881802,-673.213051856079,-315.5941089631381,-673.2399583264314,-315.6061486027277,-672.4328432117819,-315.86664661558683,-673.2598628252979,-315.6214205275282,-671.2434930514487,-317.1980176959986,-673.29319266965,-315.6457525087954,-667.4810632009281,-323.03919423870764,-673.3147045634702,-315.65958558414195,-658.9474199646438,-332.0492916870986,-673.3241808192389,-315.66374106848133,-646.985822475554,-345.34131229613905,-673.3239809527142,-315.66107716514216,-630.8898719822344,-363.4847766762826
-671.9984049649718,-315.0572778185637,-671.9903502248525,-315.0598788719304,-672.0172261802674,-315.071951207468,-671.2113535187568,-315.3316363317644,-672.0371111174333,-315.0872490141658,-670.02587961743,-316.6606793787032,-672.0704084960392,-315.111622932109,-666.2792226889411,-322.4926057150166,-672.0918992460221,-315.12548098335895,-657.7719349780107,-331.4873459824192,-672.1013661613313,-315.1296453299817,-645.8480309543069,-344.75839663116085,-672.1011663716472,-315.1269784007794,-629.8020555174998,-362.8759385304507
-670.7755267259475,-314.52297464959213,-670.767484380021,-314.5255675809498,-670.7943297757499,-314.5376725976869,-669.9897000481134,-314.7965455800423,-670.8141951473818,-314.55299626825746,-668.8081039561312,-316.12326294091764,-670.8474600095761,-314.5774121020773,-665.0772263824402,-321.9459484566801,-670.8689295759365,-314.59129511629015,-656.5963052362622,-330.9253465040121,-670.8783870933091,-314.59546832801004,-644.7101114593852,-344.1754470926721,-670.8781873628134,-314.5927983747899,-628.7141345383787,-362.2670902503976
-669.5524841211834,-313.9885901504352,-669.544454200955,-313.9911749602374,-669.571268977539,-314.00331264750645,-668.7678826668316,-314.2613742358656,-669.5911147916161,-314.018662160186,-667.590165949046,-315.5857682600362,-669.6243470832117,-314.04311988981306,-663.8750741795945,-321.399222360839,-669.6457954292443,-314.0570278529424,-655.420530662261,-330.36329318047206,-669.6552434950055,-314.0612099314401,-643.5720639613667,-343.59246365278767,-669.6550438071039,-314.0585369557461,-627.6261090648827,-361.6582318594396
-668.3292770334066,-313.45412419026286,-668.3212595670248,-313.45670087983405,-668.348043650295,-313.4688712310487,-667.5459012418917,-313.7261221746796,-668.3678699266084,-313.4842465603343,-666.3720654776674,-315.048195213453,-668.4010695898967,-313.50874616642926,-662.672765978573,-320.8524273246343,-668.4224966819766,-313.52267906332264,-654.2446111924822,-329.8011859403679,-668.4319352462529,-313.5268700091456,-642.433888430829,-343.0094462836226,-668.43173558541,-313.5241940122207,-626.5379791170229,-361.0493633808929
-667.1059053453442,-312.91957663824496,-667.0979003576008,-312.9221452097807,-667.124653658675,-312.93434822236753,-666.3237556402735,-313.1907892719293,-667.144460428831,-312.9497493390854,-665.1538024234892,-314.51054367856227,-667.1776274025821,-312.9742908030387,-661.4703016775446,-320.30556324520666,-667.1990332101641,-312.98824861743776,-653.0685467636782,-329.2390247122822,-667.2084622268844,-312.9924484300003,-641.2955848383498,-342.4263949572918,-667.2082625786231,-312.9897694127862,-625.4497447148107,-360.44048483807376
-665.8823689397238,-312.38494736355125,-665.8743764520534,-312.38750782011834,-665.9010988738161,-312.3997434926673,-665.1014457290687,-312.65537540286414,-665.9208861747566,-312.415170366822,-663.9353766680046,-313.9728135327582,-665.9540203942189,-312.4397536707543,-660.2676811746785,-319.7586300196972,-665.975404889838,-312.45373638529475,-651.8923373126011,-328.6768094247978,-665.9848243167326,-312.45794506287785,-640.1571531545068,-341.84330964591027,-665.9846246676345,-312.45526302601525,-624.3614058782574,-359.83159625429835
-664.6586676992724,-311.8502362353517,-664.6506877297528,-311.8527885808879,-664.6773791818164,-311.8650569097606,-663.8789713844568,-312.11988043927164,-664.6971470408574,-311.88050951392717,-662.7167880927068,-313.435004653435,-664.730248437758,-311.905134640689,-659.0649043681435,-319.2116275452467,-664.7516115970291,-311.9191422369005,-650.7159827760028,-328.1145400064975,-664.7610213956302,-311.923359776652,-639.0185933498776,-341.2601903215928,-664.7608217333354,-311.92067472048046,-623.2729626273743,-359.22269765288297
-663.4348015067172,-311.31544312281613,-663.4268340700694,-311.3179873621302,-663.4534944707384,-311.33028834131767,-662.6563324962876,-311.58430425031133,-663.473242903606,-311.3457666507837,-661.4980365790893,-312.8971169179868,-663.5063114061503,-311.3704335839556,-657.8619711561087,-318.66455571899604,-663.5276532077685,-311.3844660422619,-649.5394830906356,-327.552216385964,-663.5370533434103,-311.38869244019645,-637.8799053950402,-340.6770369564545,-663.5368536566172,-311.3860043647544,-622.1844149821729,-358.61378905714383
-662.2107702447857,-310.7805678951143,-662.2028153523737,-310.7831040338864,-662.2294446286445,-310.79543765500904,-661.4335289554499,-311.04864670511733,-662.2491736394746,-310.81094164777454,-660.2791220086456,-312.35915020380787,-662.2822091723466,-310.83565037166704,-656.6588814367432,-318.11741443808614,-662.3035295980869,-310.84970767138594,-648.3628381932516,-326.98983849178006,-662.3129200399055,-310.85394292238493,-636.7410892605718,-340.09384952261024,-662.312720318371,-310.8512518274096,-621.0957629626645,-358.00487049039714
-660.986573796205,-310.2456104214162,-660.9786314560358,-310.24813846619725,-661.005229543597,-310.26050471850505,-660.2105606528327,-310.5129076728238,-661.0249391249358,-310.2760343752826,-659.0600442628688,-311.8211043882923,-661.0579416092982,-310.30078487493614,-655.4556351082158,-317.57020359965793,-661.0792406440154,-310.3148669942795,-647.1860480206028,-326.4274062525284,-661.0886213649487,-310.3191110920912,-635.6021449170505,-339.51062799217493,-661.0884215994882,-310.3164169770188,-620.0070065888602,-357.3959419759591
-659.7622120437023,-309.7105705708916,-659.7542822604263,-309.71309052910385,-659.7808491036584,-309.7254893994761,-658.9874274793249,-309.9770870225648,-659.8005392364619,-309.74104470369076,-657.8408032232526,-311.2829793488344,-659.8335085899555,-309.7658369648758,-654.2522320686958,-317.0229231008522,-659.854786221585,-309.77994388094953,-646.0091125094415,-325.8649195967918,-659.8641571983726,-309.7841968181889,-634.4630723350538,-338.92737233726353,-659.8639573808601,-309.7814996821544,-618.9181458807717,-356.787003537146
-658.537684870005,-309.1754482127103,-658.5297676449154,-309.17796009264697,-658.556303196891,-309.1903915655926,-657.7641293258152,-309.4411846234744,-658.5759738505253,-309.205972503382,-656.62139877129,-310.7447749628283,-658.6089099872698,-309.230806512599,-653.048672216352,-316.4755728388099,-658.6301662068265,-309.24493820140293,-644.8320315965195,-325.302378453153,-658.6395274200099,-309.2491999695518,-633.3238714851593,-338.344082529991,-658.639327543378,-309.2464998113891,-617.82918085841,-356.17805519727403
-657.3129921578402,-308.6402432160423,-657.3050874888735,-308.6427470268677,-657.3315917113573,-308.65521108452504,-656.540666083193,-308.9052003446867,-657.3512428435986,-308.67081764473903,-655.4018307884747,-310.2064911076681,-657.384145674192,-308.69569338921843,-651.8449554493534,-315.92815271067195,-657.405380475771,-308.70984982564664,-643.6548052185893,-324.7397827501947,-657.4147319096937,-308.71412041505357,-632.184542337945,-337.7607585424723,-657.4145319679332,-308.71141723329555,-616.7401115417867,-355.56909697965943
-656.0881337899352,-308.1049554500573,-656.0802416716709,-308.10745120180695,-656.1067145351196,-308.11994782394373,-655.3170376423468,-308.3691340553358,-656.126346092154,-308.135579998145,-654.1820991563001,-309.6681276607482,-656.1592155235345,-308.16049746584116,-650.6410816658691,-315.38066261357926,-656.1804289044495,-308.17467862368756,-642.4774333124028,-324.1771324164997,-656.1897705472566,-308.178958023568,-631.0450848639882,-337.1774003468223,-656.1895705354168,-308.17625181644627,-615.650937950913,-354.9601289076184
-654.8631096490172,-307.5695847839252,-654.8552300726781,-307.5720724875056,-654.8816715562402,-307.58460165151916,-654.0932438941657,-307.8329856245558,-654.901283472664,-307.60025943398256,-652.9622037562592,-309.12968449946266,-654.9341194094399,-307.62521861191624,-649.4370507640682,-314.8331024446726,-654.9553113688927,-307.6394244655326,-641.2999158147121,-323.6144273806508,-654.9646432125313,-307.64371266396876,-629.9054990338668,-336.59400791515606,-654.9644431267203,-307.6410034294138,-614.5616601058002,-354.3511510044672
