"X1","Y1","X2","Y2","X3","Y3","X4","Y4","X5","Y5","X6","Y6","X7","Y7","X8","Y8","X9","Y9","X10","Y10","X11","Y11","X12","Y12","X13","Y13","X14","Y14"
-652.3445516130556,-289.3922874255168,-652.3363917223946,-289.39448256501225,-652.3607279714164,-289.40866129852867,-652.7688374303171,-290.1305285216676,-652.3778200873408,-289.4257201556631,-651.5461662441967,-291.30778891864406,-652.4061722965536,-289.4528595880365,-646.4476591123707,-295.98021452032805,-652.4240979606676,-289.46812724930885,-638.8718697699298,-304.44761421194454,-652.4315661839782,-289.4725569627993,-627.6451566019113,-316.75464198724177,-652.4308059759031,-289.46939163106015,-610.8661195434895,-332.866134978882
-651.1179888751784,-288.8893430687055,-651.1098421038479,-288.89153088974484,-651.134148008269,-288.9057342541004,-651.5437093960161,-289.6269379237104,-651.1512218769507,-288.9228112205888,-650.3251236528325,-290.8020909139611,-651.17954301419,-288.9499796959366,-645.2430909555158,-295.4660896296618,-651.1974483910992,-288.9652642378806,-637.6952890318261,-303.9196505591231,-651.2049080548658,-288.96969936010424,-626.508645802399,-316.20770229108643,-651.2041476257913,-288.9665312991427,-609.7828206997398,-332.29566804130314
-649.8912968325923,-288.3863297922142,-649.8831631390391,-288.38851030638796,-649.9074385954634,-288.40273827758676,-650.3184525269554,-289.12327927071124,-649.9244942992124,-288.41983332002013,-649.1039537089076,-290.29632730704134,-649.9527843156627,-288.4470307977407,-644.038401949344,-294.9519088486875,-649.9706692672613,-288.4623322004754,-636.518598532465,-303.3916468566688,-649.9781203091438,-288.4667727234974,-625.3720419120638,-315.6607437433313,-649.9773597788824,-288.46360192126184,-608.6994517768414,-331.72520783635514
-648.6644755382753,-287.8832475047589,-648.656354901656,-287.8854207219302,-648.6805997962499,-287.89967327636134,-649.0930668856851,-288.61955247207595,-648.6976374083422,-287.9167863620491,-647.8826564582786,-289.790498013575,-648.7258962665245,-287.944012800269,-642.8335921797917,-294.4376721109342,-648.743760671464,-287.95933104240146,-635.3417983904208,-302.86360307045675,-648.7512029856099,-287.9637769606962,-624.2353450632119,-315.1137663524369,-648.7504424934706,-287.96060340446707,-607.61601294732,-331.1547544237857
-647.4375250452056,-287.38009611505544,-647.4294174653858,-287.3822620433599,-647.4536316956691,-287.396539156287,-647.8675525347553,-288.11575743721016,-647.4706512585564,-287.4136702547679,-646.6612319468014,-289.28460294925236,-647.4988789323281,-287.44092561034165,-641.6286617327953,-293.9233793499308,-647.5167226860173,-287.45626066896693,-634.1648887241165,-302.33551916636475,-647.5241561604523,-287.46071197673666,-623.0985553881499,-314.5667701268639,-647.5233958278501,-287.4575356558077,-606.5325043837005,-330.58430786334253
-646.210445406361,-286.8768755318197,-646.2023509039161,-286.8790341776655,-646.2265343787615,-286.8933358232268,-646.6419095367161,-287.6118940755196,-646.2435359040711,-286.91048490626866,-645.4396802045887,-288.7786420308495,-646.2717323786266,-286.9377691347788,-640.4236106942911,-293.4090304992064,-646.289555393231,-286.9531209854802,-632.987869651975,-301.80739511027076,-646.29697992207,-286.957577676288,-621.9616730191841,-314.01975507507274,-646.296219840315,-286.9543985823331,-605.4489262585083,-330.01386821477337
-644.9832366747195,-286.3735856637676,-644.9751552909344,-286.37573703183546,-644.9993079305677,-286.3900631830434,-645.4161379541175,-287.1079622964101,-645.0162913991028,-286.40723022464346,-644.2180012970423,-288.27261517268437,-645.0444566709727,-286.4345432804006,-639.2184391502154,-292.8946254922898,-645.0622588754153,-286.44991189724936,-631.8107412924195,-301.27923086805254,-645.0696743588612,-286.45437396401917,-620.8246980886208,-313.47272120552395,-645.0689145891596,-286.45119209109276,-604.3652787442687,-329.4434355378261
-643.7558989032592,-285.870226419615,-643.7478307001281,-285.87237051285825,-643.7719524361285,-285.8867211415999,-644.1902378495097,-286.6039620092874,-643.7889177978677,-285.90390611798443,-642.9961953226951,-287.76652228677784,-643.8170518749193,-285.9312479540271,-638.0131471865045,-292.38016426271,-643.8348332148801,-285.94663330958275,-630.633503763873,-300.7510264055879,-643.8422395592245,-285.9511007445994,-619.6876307287666,-312.9256685266781,-643.8414801326779,-285.9479160891359,-603.2815620135069,-328.87300989224826
-642.5284321306308,-285.36679770904584,-642.5203772051848,-285.3689345277223,-642.5444679804843,-285.3833096047591,-642.9642092854428,-286.0998931235571,-642.561415154582,-285.40051249438375,-641.7742623800804,-287.26036328515096,-642.5895180560194,-285.42788306247866,-636.8077348890948,-291.8656467439961,-642.6072784939353,-285.4432851277885,-629.4561571847586,-300.2227816887547,-642.6146756115586,-285.44775792269763,-618.5504710719277,-312.37859704699576,-642.6139165291643,-285.444570483512,-602.1977762387482,-328.3025913377878
-641.3008364014589,-284.8632994410497,-641.2927948797918,-284.865428983416,-641.3168546486758,-284.879828478384,-641.7380523244669,-285.59575554862505,-641.3337835234622,-284.8970492619335,-640.5522025677309,-286.75413807982466,-641.3618552798257,-284.9244485125752,-635.6022023439227,-291.3510728696769,-641.3795947948909,-284.9398672571749,-628.2787016734992,-299.6944966834308,-641.3869826042618,-284.94434540298306,-617.4132192504107,-311.83150677493745,-641.3862238369128,-284.9411551812704,-601.1139215925178,-327.7321799341924
-640.0731118141451,-284.3597315207202,-640.0650837976368,-284.36185378692784,-640.0891125257436,-284.3762776683375,-640.5117670291321,-285.091549193897,-640.1060229587243,-284.39351632872575,-639.33001598418,-286.2478465828198,-640.1340636118912,-284.42094421113705,-634.3965496369244,-290.83644257328143,-640.1517822000569,-284.43637960305017,-627.101137348518,-299.16617135549404,-640.1591606257327,-284.4408630901247,-616.2758753965219,-311.2843977189637,-640.1584021142177,-284.4376700894605,-600.029998247341,-327.16177574120974
-638.8452584688175,-283.85609385302917,-638.8372440324072,-283.8582088452462,-638.8612416967284,-283.87265708048244,-639.2853534619885,-284.5872739687786,-638.8781335009262,-283.8899136038618,-638.1077027279607,-285.74148870615744,-638.9061431177688,-283.9173700649842,-633.1907768540364,-290.32175578833863,-638.9238407917433,-283.9328220707226,-625.9234643282381,-298.6378056708223,-638.93120976437,-283.93731088879167,-615.1384396425676,-310.73726988753504,-638.930451419373,-283.93411511513165,-598.9460063757432,-326.59137881858766
-637.6172764656039,-283.35238634294876,-637.6092756577904,-283.35449406535963,-637.6332422466706,-283.36896662068176,-638.0588116855861,-284.08292978267565,-637.6501152165182,-283.38624099441967,-636.885262897606,-285.2350643618584,-637.6780938630112,-283.4137259809369,-631.9848840811948,-289.8070124483775,-637.69577065226,-283.42919456550027,-624.7456827310824,-298.10939959529327,-637.703130108572,-283.4336887036531,-614.0009121208544,-310.19012328911197,-637.7023718106731,-283.4304901653333,-597.8619461502493,-326.0209892260739
-636.3891659046327,-282.8486088954508,-636.3811787474739,-282.8507093542565,-636.4051142606111,-282.86520619479836,-636.8321417624751,-283.5785165449939,-636.4219682154047,-282.8824984041915,-635.6626965916491,-284.72857346194377,-636.4499159131714,-282.91001186581525,-630.7788714043361,-289.29221248692704,-636.467571863917,-282.9254969926915,-623.567792675474,-297.58095309478495,-636.4749217467376,-282.92999643937804,-612.8632929636885,-309.6429579321551,-636.474163345345,-282.92679514689786,-596.777817743385,-325.4506070234161
-635.1609268860317,-282.34476141550726,-635.1529533751452,-282.34685461892525,-635.1768578235902,-282.3613757086952,-635.6053437552056,-283.07403416513904,-635.1936926078415,-282.37868573694317,-634.4400039086231,-284.22201591843435,-635.2216093338022,-282.40622762643943,-629.5727389093965,-288.7773558375162,-635.2392445090244,-282.4217292576045,-622.3897942798361,-297.05246613517505,-635.2465847672648,-282.4262340006356,-611.7255823033764,-309.09577382512504,-635.2458261034457,-282.423029964221,-595.6936213276753,-324.88023227036217
-633.9325595099291,-281.84084380809014,-633.9245996144919,-281.8429297663543,-633.9484730206489,-281.85747506823515,-634.3784177190677,-282.5694825530807,-633.9652885040847,-281.8748028964404,-633.217184947061,-283.7153916433512,-633.9931741904567,-281.9023731696295,-628.3664866823126,-288.26244243367387,-634.0107886698919,-281.91789126554755,-621.2116876625915,-296.5239386823415,-634.0181192585525,-281.9224012920948,-610.5877802722244,-308.54857097648215,-634.0173601958777,-281.91919452016566,-594.6093570756453,-324.3098650266598
-632.7040638764529,-281.33685597817146,-632.6961175392013,-281.3389347035321,-632.7199599368274,-281.3535041792811,-633.151363708392,-282.06486161898323,-632.7367560143904,-281.3708497864491,-631.994239805496,-283.20870054871517,-632.7646105486875,-281.39844840220576,-627.1601148084234,-287.74747220896995,-632.7822044288298,-281.41398292182885,-620.0334729421635,-295.99537070216206,-632.7895253089991,-281.41849821842476,-609.4498870025392,-308.00134939468705,-632.7887657347438,-281.4152887175711,-593.5250251598208,-323.73950535205665
-631.4754400857312,-280.832797830723,-631.4675072229609,-280.8348693374471,-631.4913186571665,-280.849462947696,-631.9241818388424,-281.56017126840817,-631.5080952490146,-280.86682631073506,-630.771168582461,-282.7019425465473,-631.5359184740475,-280.89445323098823,-625.9536233691384,-287.2324450976073,-631.5534918681478,-280.91000413175664,-618.855150236975,-295.4667621605147,-631.5608030070033,-280.91452468429463,-608.3119026266172,-307.4541090881996,-631.5600428321468,-280.9113124592766,-592.4406257527265,-323.1691533063006
