"E","\rho_p/\rho_t","\varphi"
0.01,1.8469841429166531,2.6972225035433546
0.01,3.6906658272327126,0.7474350441253647
0.01,6.281679011356579,0.37825327069664166
0.01,10.317901120709905,0.21428683868893159
0.01,16.684252672463607,0.1273444179700255
0.01,26.758248464708473,0.07757164084273582
0.01,42.71539291468233,0.04791178632241271
0.01,68.000397668191,0.029840140478962184
0.01,108.07117329104804,0.018674782379596275
0.01,171.5770667686489,0.011724187352233895
0.01,272.2258784014939,0.007373483714349284
0.01,431.74271516380423,0.004639137914362859
0.01,684.5593748820216,0.002927150570935334
0.01,1085.2464704492454,0.0018439392444137294
0.01,1720.292527062234,0.00116364949932774
0.01,2726.772577204532,0.0007330405640587666
0.01,4321.9358801514645,0.0004611426322316455
0.01,6850.0992914103435,0.0002903957262201297
0.01,10856.968240778368,0.00018468461989171636
0.01,17207.427542437224,0.00011758830495834669
0.01,27272.227246475668,0.00007483203825110482
0.01,43223.85977321734,0.00004710607649683789
0.01,68505.4935686503,0.00002971147855974364
0.01,108574.18286227228,0.000015861238948966997
0.01,172078.775752646,9.441798636952786e-6
0.01,272726.77271339734,6.224976453542012e-6
0.01,432243.0979305723,4.8315211614493444e-6
0.01,685059.435853202,2.5776747478273927e-6
0.01,1.0857463287694205e6,2.125254937074348e-6
0.01,1.7207922576605387e6,8.329562750241307e-7
0.01,2.727272227260089e6,7.831910446094914e-7
0.05,1.8537205697172432,2.6232841636881865
0.05,3.69032506414061,0.7441055655082758
0.05,6.281309826021753,0.37697194749637475
0.05,10.317556155256277,0.2137574974958274
0.05,16.68392478406034,0.12711641343923755
0.05,26.75793101811947,0.07746197703107262
0.05,42.71508204926489,0.04785870506945456
0.05,68.00009078128899,0.029808894184101434
0.05,108.07086890583531,0.01865965026941552
0.05,171.5767640400448,0.01171422443101159
0.05,272.22557654131253,0.007370972569464323
0.05,431.7424137724848,0.004640796620594076
0.05,684.5590740205275,0.002923063724903668
0.05,1085.246169848972,0.0018423017511171934
0.05,1720.2922266056582,0.0011636338902838413
0.05,2726.772276833609,0.0007330368189742011
0.05,4321.935579849944,0.0004617903683779085
0.05,6850.098991146671,0.0002911339722105913
0.05,10856.967940535473,0.0001840695676723996
0.05,17207.427242211197,0.0001159992394256233
0.05,27272.226946259572,0.0000737130291922188
0.05,43223.859473009456,0.00004665736660669996
0.05,68505.49326844845,0.000029334310022820035
0.05,108574.18256207297,0.00001931074636169748
0.05,172078.7754524481,0.000011220655929369442
0.05,272726.77241320047,7.336709130238634e-6
0.05,432243.09763037605,4.958321512514958e-6
0.05,685059.4355530062,3.6035285108874057e-6
0.05,1.085746328469225e6,1.8527483427430521e-6
0.05,1.7207922573603443e6,2.1758405726955515e-7
0.05,2.727272226959892e6,7.870055418791467e-7
0.1,1.8710085964175132,2.430680211016143
0.1,3.689259166408211,0.7337953744633581
0.1,6.280153998604574,0.3729978939399743
0.1,10.316475375322554,0.2121145284733287
0.1,16.682897362843953,0.12639399050620928
0.1,26.756936730560614,0.07712636294844367
0.1,42.714108084136846,0.047689622008615845
0.1,67.99912938930979,0.029720016706561193
0.1,108.06991531966398,0.0186089039530412
0.1,171.57581534667608,0.01168492631748922
0.1,272.22463081435524,0.0073515688365883855
0.1,431.74147019263046,0.004629983640529438
0.1,684.5581315179189,0.0029187612655357698
0.1,1085.245228109051,0.0018401883482861512
0.1,1720.2912853542366,0.0011609532897191724
0.1,2726.7713358822934,0.0007314713675758823
0.1,4321.934639072297,0.0004613339398177837
0.1,6850.098050496793,0.00029109287245599017
0.1,10856.96699993758,0.0001838090966942606
0.1,17207.426301696272,0.00011582079323545597
0.1,27272.226005762903,0.00007314638947196127
0.1,43223.858532529994,0.000046101143016663655
