"k(0)","\rho_p/\rho_t","\varphi from trajectories"
0.,2.226644030969363,1.7195306048211332
0.,2.6586820553311745,1.23593956036588
0.,3.11112034544662,0.9594277097470331
0.,3.6015611735292836,0.7737800369162006
0.,4.1409506785813655,0.6387032614480367
0.,4.738590310020681,0.5355223712184741
0.,5.4035881770198,0.45411667034852643
0.,6.145470856099774,0.38837166537492546
0.,6.974526491467003,0.3343442788343386
0.,7.902047014031761,0.2893533347991822
0.,8.940539178994173,0.2514871794380479
0.,10.103920646970145,0.21934888366782124
0.,11.407726976249219,0.19188020671950606
0.,12.869329656799735,0.16825678368275301
0.,14.50817533209508,0.1478580668092606
0.,16.346048756387166,0.13016299681339286
0.,18.407366010251234,0.1147610185467549
0.,20.719501020934764,0.10131447433134604
0.,23.31315088072482,0.08954597092183256
0.,26.222744137712844,0.07922198310704641
0.,29.486898860593048,0.07014916323074431
0.,47.03866678542183,0.043420579836985974
0.,74.8515139099733,0.02707121073773714
0.,118.92896324241846,0.016959025002158238
0.,188.78519557904423,0.0106519074752296
0.,299.4987318567859,0.006696648222690747
0.,474.96715429524204,0.004220376036983473
0.,753.065418424224,0.002659157575009888
0.,1193.8211848133494,0.001676749531917641
0.,1892.3718226818576,0.0010584472865302554
0.,2999.4998624397917,0.0006679119301879981
0.,4754.179485987634,0.00042027740576561836
0.,7535.159232254015,0.0002658827503710601
0.,11942.715072704905,0.00016673638439271434
0.,18928.22030209415,0.00010549191245043515
0.,29999.49997499931,0.00006673268648654226
0.,47546.29575344581,0.00004243726526828513
0.,75356.0929278106,0.000027210121910963792
0.,119431.65115040883,0.000016678893229816052
0.,189286.70332957697,0.000010789530806161328
0.,299999.4999862497,6.702656226726147e-6
0.,475467.4577250453,4.211827276233056e-6
0.,753565.4294398768,2.4569983671599745e-6
0.,1.1943210116476791e6,1.6966489355356161e-6
0.,1.8928715334278843e6,1.0556291626761547e-6
0.,2.999999499987374e6,6.670066930583929e-7
0.01,2.2267372072404927,1.718574806143754
0.01,2.6587143078310076,1.2355333859495596
0.01,3.11113489889824,0.9591787253408108
0.01,3.601568768359722,0.7736003347880036
0.01,4.14095502650883,0.6385653732002226
0.01,4.738592965782887,0.5354141153716069
0.01,5.403589877933913,0.4540308319604723
0.01,6.145471985049722,0.38830315823569905
0.01,6.974527262744799,0.33428971931012136
0.01,7.902047548809047,0.2893090104000023
0.01,8.940539562864213,0.25145060381908835
0.01,10.103920923237341,0.21931957938847796
0.01,11.407727175748677,0.19185792696815385
0.01,12.86932980657524,0.16823943001871158
0.01,14.508175442904847,0.14784179772285616
0.01,16.346048840738728,0.13014985333215381
0.01,18.407366075028722,0.1147497342492309
0.01,20.719501068535415,0.1013051484958562
0.01,23.313150918343204,0.08953801816391227
0.01,26.22274417269898,0.07921455019472033
0.01,29.486898888984584,0.07014380000146997
0.01,47.03866679542367,0.04341503245899814
0.01,74.85151392097943,0.027070113274349734
0.01,118.92896311595781,0.016958469857649424
0.01,188.785195553476,0.010653203959646826
0.01,299.4987318576404,0.006698165828337433
0.01,474.96715429530263,0.004220223616597595
0.01,753.0654184237897,0.00265902786626461
0.01,1193.8211848158544,0.0016787881242281773
0.01,1892.3718226814535,0.0010583763380480977
0.01,2999.4998624393966,0.0006678828505909376
0.01,4754.1794859995925,0.000419670141908131
0.01,7535.15923226475,0.00026518182730538335
0.01,11942.71507270027,0.0001678854728192186
0.01,18928.220302092308,0.0001054859205136344
0.01,29999.499974998605,0.00006591996585352462
0.01,47546.295753445644,0.00004328604019972345
0.01,75356.09292781012,0.00002659113672923066
0.01,119431.65115040861,0.000016972276676856216
0.01,189286.70332957665,0.00001062905364931857
0.01,299999.49998624966,6.414874825746197e-6
0.01,475467.4577250452,5.454935946335926e-6
0.01,753565.4294398768,3.4823748247374744e-6
0.01,1.194321011647679e6,4.206319700569176e-8
0.01,1.8928715334278843e6,3.9338244119273314e-7
0.01,2.999999499987374e6,9.056296778973384e-7
0.1,2.2316873810770073,1.6444892097812542
0.1,2.6590255446870077,1.203849741283426
0.1,3.1101831937354856,0.9395863588045957
0.1,3.600200108229301,0.7593156653958374
0.1,4.139444456904402,0.6275368328958446
0.1,4.737043506400927,0.5267455045989595
0.1,5.402043001771314,0.4471602989158905
0.1,6.143944466759552,0.3828394461538656
0.1,6.973024429548313,0.32993485911684217
0.1,7.9005709998069005,0.28582678378940657
0.1,8.939087916693255,0.24865799948715217
0.1,10.102492422730894,0.2170690255328831
0.1,11.406319751796946,0.19003550803197397
0.1,12.867941449504958,0.16676510711756395
0.1,14.506803940070458,0.14664047178916775
0.1,16.3446922631899,0.1291657514041744
0.1,18.406022750963732,0.11394214181964744
0.1,20.718169475014722,0.10063903969785046
0.1,23.311829697518494,0.08898658433255092
0.1,26.221432136416293,0.07875790610373207
0.1,29.485594982621194,0.06976245011299956
0.1,47.03738713222007,0.043221295519140085
0.1,74.85024916636306,0.0269667216980698
0.1,118.9277077953343,0.016897076955010457
0.1,188.78394609423773,0.0106147317133315
0.1,299.4974860284571,0.006679827058910847
0.1,474.965910772335,0.004208097317217583
0.1,753.0641763560653,0.0026529794629720645
0.1,1193.8199436251448,0.0016726875848121073
0.1,1892.370582101079,0.0010552489762315179
0.1,2999.4986221932995,0.0006647441983491156
0.1,4754.178246009872,0.000419251578293371
0.1,7535.157992414018,0.00026449224862163393
0.1,11942.713832930973,0.0001668176150078186
0.1,18928.219062400567,0.00010534726102197638
0.1,29999.498735348603,0.00006647797525401038
0.1,47546.29451380927,0.00004192594765921451
0.1,75356.09168819516,0.00002644390655921401
0.1,119431.6499108051,0.000016565617771150626
0.1,189286.7020899803,0.000010528405132709122
0.1,299999.49874665693,6.6513094218161666e-6
0.1,475467.45648545504,4.182379343086274e-6
0.1,753565.4282002881,2.6290715631055448e-6
0.1,1.1943210104080914e6,1.0873155637471211e-6
0.1,1.8928715321882977e6,1.0515818272800455e-6
0.1,2.999999498747788e6,6.636815534311301e-7
0.2,2.2426319600895552,1.4708235039543713
0.2,2.6595357230026746,1.118190538371046
0.2,3.1072693202359596,0.8834588762860593
0.2,3.5960552007077533,0.7177507302092339
0.2,4.134859742946559,0.5953608156812721
0.2,4.732331205462934,0.5014166040531114
0.2,5.397332000807897,0.4270663446163407
0.2,6.1392875513098035,0.3668200435688983
0.2,6.968441305140738,0.317112819054007
0.2,7.8960661227919795,0.2755258477157808
0.2,8.934658850603736,0.24035145113140788
0.2,10.098133875050166,0.21034531502563775
0.2,11.40202536206272,0.1845711734063432
0.2,12.863704603720473,0.16230752013185723
0.2,14.502618531218348,0.14298977707651447
0.2,16.34055251878982,0.12616411918605552
0.2,18.401923522824315,0.11146352725054229
0.2,20.714106145436535,0.09858446285015325
0.2,23.3077981276545,0.08727647302415534
0.2,26.217428701975795,0.0773292128367325
0.2,29.481616448893668,0.06856406286073333
0.2,47.0334828572001,0.04260571246093494
0.2,74.8463908629256,0.02663207906871012
0.2,118.92387811206635,0.016706668672946755
0.2,188.78013433008442,0.010503222352954448
0.2,299.493685508878,0.00661207325796445
0.2,474.9621173083978,0.004165982509651921
0.2,753.0603871514829,0.0026263695245944143
0.2,1193.8161574496041,0.0016564510353112992
0.2,1892.3667974901634,0.0010450260130301066
0.2,2999.4948387338686,0.0006595154424277288
0.2,4754.174463310035,0.000416709780156425
0.2,7535.154210197871,0.00026201668589103636
0.2,11942.710050893142,0.00016538960411806097
0.2,18928.215280553668,0.00010431712895576916
0.2,29999.49495369995,0.00006581439592141423
0.2,47546.290732252266,0.00004152363343680232
0.2,75356.08790668283,0.000026198028568889576
0.2,119431.64612931428,0.000016533963953834986
0.2,189286.6983085119,0.000010428756659862946
0.2,299999.49496519985,6.5793847826985965e-6
0.2,475467.4527040057,4.148314616503165e-6
0.2,753565.4244188434,2.6132367077101445e-6
0.2,1.1943210066266488e6,1.6513202470079367e-6
0.2,1.8928715284068568e6,1.0423868563030745e-6
0.2,2.999999494966349e6,6.572592589182544e-7
0.4,2.261988679781966,1.07820125692979
0.4,2.65758365525403,0.8591724280484436
0.4,3.0952515105620235,0.695076176004646
0.4,3.579506252768884,0.5745411283003339
0.4,4.116414441004149,0.48376463754475774
0.4,4.7132208902899455,0.4130491658509056
0.4,5.378125344079777,0.35629745744661473
0.4,6.120240111316146,0.309668162159886
0.4,6.949659159866532,0.2706571092109784
0.4,7.8775834829144475,0.237564978963001
0.4,8.916475548978582,0.20919269701959387
0.4,10.080233670542272,0.18466652040191334
0.4,11.384385517377837,0.1633295753589536
0.4,12.846300529397624,0.14467560564424709
0.4,14.485425844034635,0.12830298023020847
0.4,16.32354848549615,0.11388935919135355
0.4,18.385087162361103,0.10116971403505225
0.4,20.697418700492836,0.08992360630350964
0.4,23.29124263524993,0.07996557311486495
0.4,26.20099018707913,0.07113733775401075
0.4,29.46528160191579,0.06330351984236282
0.4,47.01745757611438,0.03977917568304804
0.4,74.83055748892181,0.0250452910530731
0.4,118.90816432191578,0.015784272016239994
0.4,188.76449536899366,0.009952631054927564
0.4,299.47809351708156,0.006277166864981074
0.4,474.9465539399543,0.0039597348574597286
0.4,753.0448434852636,0.0024979921925462117
0.4,1193.8006245306296,0.0015760712584878282
0.4,1892.351272276271,0.0009943054696240254
0.4,2999.4793184526084,0.0006274640993589821
0.4,4754.158945944509,0.0003960523536238187
0.4,7535.1386947790725,0.0002498518852661922
0.4,11942.69453608744,0.00015767419592099496
0.4,18928.19976676127,0.00009939717681477624
0.4,29999.479440508654,0.00006269206588587728
0.4,47546.275219415766,0.00003965234744675744
0.4,75356.07239412381,0.000024953604845237504
0.4,119431.63061693356,0.00001573969884170466
0.4,189286.6827962247,9.931255035012164e-6
0.4,299999.47945295984,6.325653904862047e-6
0.4,475467.43719179754,3.951773313116049e-6
0.4,753565.4089066543,2.5140229945780968e-6
0.4,1.1943209911144697e6,1.5543243332193963e-6
0.4,1.8928715128946847e6,1.0001851793666478e-6
0.4,2.9999994794541835e6,6.258893881585839e-7
0.6,2.268320793501357,0.6948558490960258
0.6,2.647650622361828,0.5662159357012416
0.6,3.0743144623702086,0.4720191749625565
0.6,3.551947391501928,0.4011151055178558
0.6,4.0853143461481265,0.3456823589505099
0.6,4.680489272591029,0.3009243748445475
0.6,5.344845244591077,0.2638853884809377
0.6,6.086985333036096,0.2326629873448794
0.6,6.9167131915223425,0.20597056162446722
0.6,7.845070752367889,0.18290011301323614
0.6,8.88443588525024,0.16278791957362532
0.6,10.04866364689567,0.14513516425765424
0.6,11.35326000680986,0.12955715633738338
0.6,12.815585009678237,0.11575244560819566
0.6,14.455082883309961,0.10347965445027284
0.6,16.29354090814256,0.09254217095158034
0.6,18.355379780529198,0.08277713755951589
0.6,20.667979071351265,0.07404739393966465
0.6,23.262041323909337,0.06623662979825087
0.6,26.172000675439847,0.059244066107529296
0.6,29.43648024262429,0.0529822084725266
0.6,46.989219952154265,0.03382539963539615
0.6,74.80267047356006,0.021525900331844677
0.6,118.88049612614698,0.01366176681285939
0.6,188.73696420597528,0.008653682843657504
0.6,299.4506483807749,0.005474221512534868
0.6,474.91916142779417,0.003459709033766987
0.6,753.0174843205186,0.002185232946738778
0.6,1193.7732878083496,0.0013797024986841177
0.6,1892.3239488933468,0.0008708928418889136
0.6,2999.452003937891,0.0005497219646589193
0.6,4754.131637607147,0.0003469005039860903
0.6,7535.11139003218,0.00021892894433074274
0.6,11942.667233891418,0.00013820986046288704
0.6,18928.172465693344,0.00008720707248395496
0.6,29999.45214001954,0.00005499411018161542
0.6,47546.24791965644,0.00003469045060268325
0.6,75356.04509464317,0.00002189536863427949
0.6,119431.60331774552,0.000013861024104958082
0.6,189286.65549720297,8.711609830450232e-6
0.6,299999.45215402736,5.486066479647666e-6
0.6,475467.4098929237,3.492199745351998e-6
0.6,753565.3816078155,2.1446485962809624e-6
0.6,1.1943209638156488e6,1.3837149481319358e-6
0.6,1.8928714855958761e6,8.879766611387173e-7
0.6,2.9999994521553847e6,5.599212385398719e-7
0.8,2.261268019587315,0.3823541333810886
0.8,2.6277779479768766,0.325491315861584
0.8,3.0436606525010816,0.2809881595941737
0.8,3.5131525500982375,0.24486596331503038
0.8,4.041034597567608,0.21478510589176236
0.8,4.632951415963631,0.18930933132136019
0.8,5.295669595546034,0.16749031473489367
0.8,6.037227533905676,0.1486514466184702
0.8,6.867001608382447,0.1322819057346923
0.8,7.795748717051069,0.11797930834694975
0.8,8.83567059700135,0.10542015789382805
0.8,10.000518608764876,0.09434143170153184
0.8,11.30574094453703,0.08452833287229675
0.8,12.768666620716605,0.0758046362457579
0.8,14.408724599963579,0.06802420438138825
0.8,16.247695927885143,0.06106716794203539
0.8,18.31000026084683,0.05483304569978772
0.8,20.623018518557643,0.049237515012402144
0.8,23.21745634857096,0.04420911074725615
0.8,26.127751212963158,0.039686669920350554
0.8,29.39253005237822,0.03561716925367981
0.8,46.94617208004126,0.02302368112770019
0.8,74.76018703987613,0.01479106752149901
0.8,118.8383659273002,0.009450683754385597
0.8,188.6950555371952,0.006013657846964355
0.8,299.4088769620618,0.003815479511770468
0.8,474.8774771260707,0.0024160322020982264
0.8,752.9758546556299,0.0015281830860275755
0.8,1193.7316927578474,0.0009656772310105018
0.8,1892.2823755455627,0.0006098942074333137
0.8,2999.410447096753,0.0003850419034823574
0.8,4754.090089558189,0.00024305990479357194
0.8,7535.06984783945,0.0001533553705495897
0.8,11942.625695515724,0.00009679630500220176
0.8,18928.130929624665,0.00006107012586091728
0.8,29999.41060542261,0.00003855895090960964
0.8,47546.20638570416,0.00002437247846884465
0.8,75356.00356092292,0.000015368150121098213
0.8,119431.56178452805,9.691740868425352e-6
0.8,189286.6139641989,6.091819174659024e-6
0.8,299999.41062118375,3.7852490520911664e-6
0.8,475467.368360174,2.4212902083974127e-6
0.8,753565.3400751193,1.5327973139426514e-6
0.8,1.1943209222829803e6,9.723110140889494e-7
0.8,1.8928714440632323e6,6.138196265677288e-7
0.8,2.9999994106227583e6,3.0856762106973555e-7
1.,2.241750772690689,0.18326818374034567
1.,2.5971139074205403,0.1585315850570773
1.,3.0023352048974963,0.13702909192261886
1.,3.4624234593337526,0.11819367652063505
1.,3.9827232513543183,0.10169319924962475
1.,4.569106379705341,0.0872941255795808
1.,5.228222723164998,0.07479673406384432
1.,5.967761903378725,0.064009154009
1.,6.796673231229244,0.054742391206371484
1.,7.72532352655853,0.0468132123220931
1.,8.765612820622016,0.04004741470881519
1.,9.931083256143223,0.034285736205742275
1.,11.237047251672557,0.02938476917456364
1.,12.700750968468654,0.025217529457321215
1.,14.341575066972752,0.021673758273608047
1.,16.181274155831467,0.01865837600043712
1.,18.244254609940576,0.016090333442218527
1.,20.557892438324572,0.01390024991136239
1.,23.152892613935155,0.01202984077857586
1.,26.063694836316294,0.010429948722883883
1.,29.328929360879496,0.00905890424395637
1.,46.88396050493282,0.005243702961714484
1.,74.69885292368541,0.0031089469923331297
1.,118.77758334429097,0.0018788719170313415
1.,188.63461710651217,0.0011516325812480715
1.,299.3486604919456,0.000712865265053033
1.,474.81739849047284,0.0004443058217940612
1.,752.915864931463,0.00027809506882512085
1.,1193.6717553491994,0.00017465651758957166
1.,1892.222474558927,0.00010995608285825528
1.,2999.350565302601,0.00006929436486556967
1.,4754.030220548814,0.00004364519731553577
1.,7535.009986717873,0.00002752667083901398
1.,11942.565839806875,0.000017335988529713306
1.,18928.071077435325,0.000010954206046652166
1.,29999.350755470445,6.9023710585702395e-6
1.,47546.146537187706,4.351538532635045e-6
1.,75355.94371360354,2.769557001301125e-6
1.,119431.50193730881,1.74251834584593e-6
1.,189286.55411739892,1.102754524745149e-6
1.,299999.3507746439,5.883377014623285e-7
1.,475467.3085137798,3.2505075802737553e-7
1.,753565.2802288012,2.7134787794196854e-7
1.,1.1943208624367092e6,1.1314710972363147e-7
1.,1.8928713842170006e6,1.3485854786089578e-7
1.,2.999999350776557e6,5.0441827569057146e-8
