"E","\rho_p/\rho_t","\varphi"
0.01,2.665965031006443,1.2300702725686234
0.01,4.013412669615213,0.6661007391148851
0.01,6.065437792885564,0.3945020515708618
0.01,9.230378323905615,0.24261328327323411
0.01,14.139957452717107,0.15199555715518487
0.01,21.786889880504056,0.09611328715993613
0.01,33.73622664687134,0.061044991419075836
0.01,52.45873816545671,0.038842181883757765
0.01,81.85845909738147,0.02472673037411736
0.01,128.10805154199036,0.015730892118949846
0.01,200.97193936987813,0.009999991823791103
0.01,315.90230483704244,0.006351650890229584
0.01,497.3598488459219,0.004031646025229431
0.01,784.0749329782885,0.0025557860632127944
0.01,1237.3845553451283,0.0016194330538581243
0.01,1954.4426095797219,0.0010248058160363838
0.01,3089.1533795177465,0.0006488747846204609
0.01,4885.34525725265,0.0004082366233262357
0.01,7729.34436972312,0.00025899024700263987
0.01,12233.285836490975,0.00016370396782367622
0.01,19367.15617440672,0.00010331527469708358
0.01,30668.044371631426,0.00006675190635298096
0.01,48571.77193729966,0.000042336215747599
0.01,76938.50648407094,0.000027893220473403964
0.01,121885.68757514955,0.000015049051710220991
0.01,193108.26778535513,0.000010426712295737392
0.01,305970.9767732208,4.352386495302831e-6
0.01,484824.25908670947,4.633643302222255e-6
0.01,768259.8015641466,2.7190856057450253e-6
0.01,1.2174399620909584e6,1.9111262928857854e-6
0.01,1.9292985837292213e6,7.152077069005816e-7
0.05,2.6656998349168886,1.2287266657679132
0.05,4.013072036757041,0.665591104879024
0.05,6.065042170502646,0.3941865727718814
0.05,9.229912093903673,0.24239721125944533
0.05,14.139396786861813,0.15184046219421288
0.05,21.786203305107673,0.09600696273669261
0.05,33.73537604916752,0.06097707870686836
0.05,52.45767704475925,0.03879828470768125
0.05,81.85712474477474,0.024691508217441354
0.05,128.10637201187694,0.015710298571285728
0.05,200.96980256092138,0.009987559337138005
0.05,315.8996104502457,0.006340636647523391
0.05,497.35642502752427,0.004022586313119898
0.05,784.0706131340809,0.0025514038486341545
0.05,1237.3791987703883,0.001616263237119036
0.05,1954.4357043186387,0.0010240328238881478
0.05,3089.1447132177095,0.0006472739412104796
0.05,4885.334918236482,0.00040901638700856387
0.05,7729.330449449325,0.00025661983316193807
0.05,12233.268752975266,0.00016390924422546437
0.05,19367.134533037133,0.0001045240445438751
0.05,30668.015016982583,0.0000661759708452038
0.05,48571.737944274944,0.00004228025458099557
0.05,76938.45430091591,0.000027254103029422095
0.05,121885.62701667158,0.000017476920869080446
0.05,193108.1958277335,0.000011240606294488528
0.05,305970.87405576924,6.222186073459112e-6
0.05,484824.1008966812,4.823673893646394e-6
0.05,768259.7153153246,3.0773134344212333e-6
0.05,1.217439800258059e6,1.3595542848952412e-6
0.05,1.929298364074617e6,5.635964050026375e-7
0.1,2.664871507741613,1.2245458861211966
0.1,4.012008464597515,0.66398512311532
0.1,6.063806040889342,0.39320928912100334
0.1,9.228455302339972,0.24172149033461574
0.1,14.137643821817445,0.1513667267105452
