"\alpha","a","\rho_p/\rho_t","\Delta z from trajectories","\Delta z numerical integration","\Delta z approx."
0.5,0.4490987840908531,2.2266816019651015,-0.51234989120872,-0.5123484285095994,-0.23570151077892024
0.5,0.3214251562338004,3.111144167174685,-0.30328959608885603,-0.30328871584821127,-0.18722439164307195
0.5,0.24148929595527602,4.140970290398299,-0.2084145878411774,-0.208414055656914,-0.14871767222577373
0.5,0.18506161825892498,5.403605617459108,-0.1512656452142477,-0.15126611376974067,-0.11813126284833367
0.5,0.14337858150509966,6.974542428182917,-0.1129846369754264,-0.11298504777848027,-0.09383498239751228
0.5,0.11184988923567468,8.940554227040295,-0.08588053177861812,-0.08588115300265631,-0.07453577754789831
0.5,0.08765977115304432,11.407741394329104,-0.06603840923216334,-0.06603894558874965,-0.05920584945404171
0.5,0.06892658840022418,14.508189411515218,-0.051191333934445665,-0.051191654425191975,-0.047028644976502595
0.5,0.054326037587048855,18.407379673101662,-0.03991316161364866,-0.039913611003473994,-0.03735617444971233
0.5,0.042894220124702065,23.313164269983236,-0.03125319715784705,-0.03125383156895153,-0.029673065247658413
0.5,0.0339133510388402,29.486912067602002,-0.02455089687370389,-0.02455176580966175,-0.023570165218411224
0.5,0.026840257489668787,37.25746671338435,-0.019332997792903026,-0.019334141664161107,-0.018722456539146805
0.5,0.02125910009458641,47.038679697201665,-0.015252487224971634,-0.015253983178587305,-0.014871780309783141
0.5,0.016848784871049002,59.35146110852682,-0.01205054072586341,-0.012052395826381079,-0.011813081807080083
0.5,0.013359780963299537,74.85152658917731,-0.009531212095058667,-0.00953356400054909,-0.009383474708289808
0.5,0.010597225683371785,94.36432042483631,-0.00754484294510023,-0.007547820239334072,-0.007453569610423856
0.5,0.008408379820961764,118.9289757709373,-0.005976201810651387,-0.0059798285937899395,-0.005920583539795151
0.5,0.0066731773001932875,149.85365366675262,-0.004735619505524473,-0.004740155099656591,-0.004702884991973523
0.5,0.005297025172957367,188.78520817783706,-0.003753490872530754,-0.0037590927818544582,-0.0037356322422467223
0.5,0.0042052695003690415,237.79688790747971,-0.002975159872641117,-0.0029820930845761446,-0.0029673180822824084
0.5,0.003338912161156851,299.4987444214539,-0.0023578037936806337,-0.0023663323467606094,-0.002357023736740291
1.,0.12732200270572178,2.80251708838147,-0.160513151739689,-0.1605132673728477,-0.13211005519804755
1.,0.0758613098227231,3.630695538328856,-0.09049633613000196,-0.09049652955714839,-0.08100173272418731
1.,0.046385769696576436,4.643095498870976,-0.0537525256722238,-0.05375243932782463,-0.050312425788495804
1.,0.02873558293305673,5.899157536873651,-0.03275202575444043,-0.03275195531444732,-0.03145522943206007
1.,0.017931461664978898,7.467790983664978,-0.020237037153586226,-0.02023702026234234,-0.019737434950281574
1.,0.011237390035361708,9.43337876804288,-0.01260616689317949,-0.01260619228719935,-0.012411257567785761
1.,0.0070604876423479,11.900977973099696,-0.007891047398197383,-0.007891154686124753,-0.00781450907992491
1.,0.004443154627953828,15.00217703918618,-0.004954343329477452,-0.004954414825320842,-0.004924137613904204
1.,0.0027988183077479476,18.90221274966591,-0.0031162990259054474,-0.0031163516486093995,-0.0031043565945303143
1.,0.0017641045008400167,23.808818592773406,-0.001962414090998746,-0.001962461287476198,-0.0019577005669607823
1.,0.0011123484301866309,29.98331013040612,-0.0012366831033576858,-0.0012367133775318796,-0.0012348217600958063
1.,0.0007015558967743368,37.75451193100503,-0.0007797080767381441,-0.0007797108879106165,-0.0007789587451593805
1.,0.0004425371397371038,47.536273998022054,-0.0004917158905244495,-0.0004917251022175749,-0.0004914259054402835
1.,0.000279176431870437,59.84951341257763,-0.00031018705028318903,-0.00031016245248210116,-0.0003100434020526154
1.,0.0001761302654772512,75.34995636467904,-0.00019568416280369566,-0.00019566153803225248,-0.0001956141607305856
1.,0.00011112345953420851,94.8630586101738,-0.00012345632273861977,-0.00012343905913605628,-0.00012342020345009668
1.,0.00007011128720138692,119.42796432183509,-0.000077896888237978,-0.00007787879919040354,-0.00007787129473724171
1.,0.000044236086892835756,150.35284446718148,-0.000049148863026296855,-0.00004913582641123026,-0.00004913283983795461
1.,0.000027910628242154692,189.2845617632763,-0.000031007973094822165,-0.00003100166559510401,-0.00003100047716242622
1.,0.000017610234481035997,238.29637216208673,-0.000019570814302898986,-0.00001956035253613628,-0.000019559879737872662
1.,0.000011111234570644554,299.9983333101879,-0.000012340027467710405,-0.000012341595796330258,-0.000012341407769834237
1.5,0.039334916136063006,2.9404057080016313,-0.05815087567374454,-0.05815084988276538,-0.054522897890455786
1.5,0.019107511137039724,3.740519813473776,-0.027596546131152894,-0.027596487761415635,-0.026762670202063858
1.5,0.009436539864881896,4.73219254490483,-0.013483109781993893,-0.01348307484913815,-0.01328215695807567
1.5,0.004695722563055319,5.971716612607045,-0.006674566372290726,-0.006674611493274378,-0.006625150904591433
1.5,0.002345123622430541,7.526818081788754,-0.0033248704073077645,-0.0033249179562208717,-0.0033126170931662984
1.5,0.0011732782152359953,9.481265999466926,-0.001661345960589436,-0.0016613668517696128,-0.0016582923042123417
1.5,0.0005875151637587023,11.939706190990588,-0.0008314007972540539,-0.0008313976787727065,-0.0008306273099949027
1.5,0.0002943255742464793,15.033404162638364,-0.0004163843970754928,-0.0004163709351109353,-0.0004161776752584572
1.5,0.00014747972440549758,18.92732448172011,-0.00020862304955289977,-0.0002086008801682888,-0.0002085523696881694
1.5,0.0000739067974284753,23.828966431650926,-0.00010452468547405159,-0.00010452829188677373,-0.00010451611260892257
1.5,0.00003703909485970212,29.99944440845986,-0.00005238763672217161,-0.00005238327651754184,-0.000052380218787031654
1.5,0.0000185630070097611,37.767411810598205,-0.000026254362566289786,-0.000026252584285856096,-0.00002625181682562831
1.5,9.303412909593905e-6,47.54657459959392,-0.00001316196948762064,-0.000013157142911339106,-0.000013156950416692923
1.5,4.662719321736255e-6,59.85772989868881,-6.5951625174644115e-6,-6.594114486505177e-6,-6.594066273217886e-6
1.5,2.336887245188151e-6,75.35650489530985,-3.3051984615261806e-6,-3.3048659412368507e-6,-3.304853899821739e-6
1.5,1.1712160058302475e-6,94.86827424938356,-1.655359733379407e-6,-1.6563517781123715e-6,-1.656348788060829e-6
1.5,5.869979955391898e-7,119.43211611282776,-8.302316669204059e-7,-8.301410273179001e-7,-8.30140293626336e-7
1.5,2.941957723171928e-7,150.35614797110543,-4.158343792371724e-7,-4.160558046962255e-7,-4.16055629099593e-7
1.5,1.4744713281598314e-7,189.2871893891298,-2.0839286661209454e-7,-2.085217978968752e-7,-2.0852175814763166e-7
1.5,7.389861244961386e-8,238.29846161232118,-1.0443899751310303e-7,-1.045084445702845e-7,-1.0450843677072211e-7
1.5,3.703703909465044e-8,299.99999444444404,-5.227165541545325e-8,-5.2378290905977197e-8,-5.237829004192601e-8
2.,0.012664422992340664,2.9809428376473877,-0.021451214095071072,-0.021451162363594282,-0.020965912506345052
2.,0.0049640648855535895,3.7673904939554976,-0.008323625664393292,-0.008323662428390749,-0.008249984068387705
2.,0.0019643681670219785,4.750007311064521,-0.0032810598389934227,-0.0032810655171402426,-0.003269580269304632
2.,0.0007801765607067509,5.983451503764461,-0.0013011266229118815,-0.0013011386376831514,-0.0012993302132065677
2.,0.0003103019807563439,7.5344900387701035,-0.0005171991716622654,-0.0005171939170837392,-0.000516908054407855
2.,0.00012348728646007694,9.486247210792621,-0.00020577997628679848,-0.00020577236986355095,-0.0002057271154820247
2.,0.00004915386548767163,11.942921585416444,-0.0000819043801356346,-0.00008189947515310811,-0.00008189230785345369
2.,0.0000195673483776862,15.035469904528888,-0.00003260053245523727,-0.000032601609427636165,-0.00003260047450727223
2.,7.789718204374148e-6,18.928646609567828,-0.000012979781877885121,-0.000012978430299694244,-0.000012978250773366985
2.,3.101113593668492e-6,23.829810092170607,-5.16684594819585e-6,-5.166726740878675e-6,-5.166698421292457e-6
2.,1.2345709495633762e-6,29.99998148143107,-2.0572388797174095e-6,-2.0568983927299677e-6,-2.056893957276764e-6
2.,4.91490817142965e-7,37.76775307257019,-8.188038226689945e-7,-8.188640080214564e-7,-8.188633260867631e-7
2.,1.9566590280004624e-7,47.546791122190086,-3.2530755431537e-7,-3.2599533216216693e-7,-3.259952324622846e-7
2.,7.789598058991148e-8,59.85786711772271,-1.2974821705428433e-7,-1.2978104844003804e-7,-1.2978103597294202e-7
2.,3.101094552224109e-8,75.35659177684784,-5.164437252513595e-8,-5.1666756694834306e-8,-5.166675604672179e-8
2.,1.234567931717727e-8,94.86832921944439,-2.0533734969974517e-8,-2.0568900786301656e-8,-2.0568901211915314e-8
2.,4.9149033884791785e-9,119.43215087255045,-8.156231700032419e-9,-8.188627598943054e-9,-8.188627876831793e-9
2.,1.9566582699546896e-9,150.35616994108395,-3.2417537927182044e-9,-3.2599508985822443e-9,-3.259951026378616e-9
2.,7.789596857570048e-10,189.28720327033443,-1.2837775989931247e-9,-1.2978099499395392e-9,-1.2978100035372206e-9
2.,3.1010943618117276e-10,238.29847038033517,-5.150164552553078e-10,-5.166674539545572e-10,-5.166674757205375e-10
2.,1.2345679015394002e-10,299.99999998148144,-2.0511204685397504e-10,-2.0568902000438426e-10,-2.0568902873966123e-10
